ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.153.172.76","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","244","Tencent Cloud Computing","443","socks5","3112","1","2025-04-10T04:58:04.370Z","97","9176","9419"
"43.157.44.125","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","3","Tencent Cloud Computing","443","socks4","2828","1","2025-04-10T04:58:04.363Z","37","3486","9429"
"43.153.64.134","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","148","Tencent Cloud Computing","443","socks4","3095","1","2025-04-10T04:55:38.493Z","91","8598","9490"
"43.157.47.86","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","7","Tencent Cloud Computing","443","socks4","2020","1","2025-04-10T04:54:58.588Z","36","3446","9443"
"129.226.90.169","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","306","Aceville Pte.ltd","443","socks5","1402","1","2025-04-10T04:53:05.994Z","45","4257","9472"
"41.111.198.108","elite","AS36947","DZ","Algerie Telecom","60","N/A","443","socks4","4801","1","2025-04-10T04:51:56.489Z","93","702","757"
"45.79.230.234","elite","AS63949","US","Akamai Technologies, Inc.","144","Linode","443","socks4","3606","1","2025-04-10T04:50:06.284Z","100","9425","9449"
"45.144.30.205","elite","AS44477","RU","Stark Industries Solutions LTD","44","Stark Industries Solutions LTD","443","socks5","4613","1","2025-04-10T04:47:31.372Z","99","2736","2758"
"194.233.69.126","elite","AS141995","SG","Contabo Asia Private Limited","258","Contabo Asia Private Limited","443","socks4","1901","1","2025-04-10T04:44:29.876Z","98","9332","9505"
"45.144.30.254","elite","AS44477","RU","Stark Industries Solutions LTD","42","Stark Industries Solutions LTD","443","socks4","1395","1","2025-04-10T04:43:49.896Z","100","1411","1412"
"202.159.35.161","elite","AS9340","ID","PT IndoInternet","171","N/A","443","socks4","196","1","2025-04-10T04:42:09.897Z","99","9350","9467"
"202.159.35.225","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","5192","1","2025-04-10T04:41:39.378Z","98","9365","9531"
"43.153.90.161","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks4","4904","1","2025-04-10T04:40:34.182Z","91","8574","9419"
"43.134.168.42","elite","AS132203","SG","Aceville Pte.ltd","318","N/A","443","socks4","4615","1","2025-04-10T04:40:33.995Z","26","2506","9457"
"43.153.174.106","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","250","Tencent Cloud Computing","443","socks4","140","1","2025-04-10T04:39:23.798Z","74","6976","9474"
"43.153.64.66","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks4","4991","1","2025-04-10T04:36:31.677Z","96","9024","9397"
"8.219.104.50","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","249","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","201","1","2025-04-10T04:29:37.882Z","70","6599","9402"
"45.144.30.199","elite","AS44477","RU","Stark Industries Solutions LTD","42","Stark Industries Solutions LTD","443","socks5","2996","1","2025-04-10T04:25:36.295Z","72","1961","2723"
"109.198.19.143","elite","AS8400","RS","MadNet ISP","37","Madnet d.o.o.","443","socks4","4106","1","2025-04-10T04:21:34.497Z","99","180","181"
"202.159.35.73","elite","AS9340","ID","PT IndoInternet","168","N/A","443","socks4","1490","1","2025-04-10T04:14:57.799Z","99","9312","9417"
"202.159.35.33","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","3996","1","2025-04-10T04:10:00.694Z","99","9440","9545"
"172.67.170.13","elite","AS13335","CA","Cloudflare, Inc.","65","Cloudflare, Inc.","443","socks4","3592","1","2025-04-10T04:08:08.581Z","100","2397","2397"
"43.153.58.204","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","151","Tencent Cloud Computing","443","socks4","4491","1","2025-04-10T04:06:52.663Z","89","8383","9397"
"43.153.71.58","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","148","Tencent Cloud Computing","443","socks4","3097","1","2025-04-10T04:02:11.588Z","91","8584","9421"
"43.157.52.37","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","7","Tencent Cloud Computing","443","socks5","1897","1","2025-04-10T03:51:35.194Z","34","3263","9474"
"43.157.47.47","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","63","Tencent Cloud Computing","443","socks4","2284","1","2025-04-10T03:51:35.187Z","37","3499","9395"
"194.233.73.107","elite","AS141995","SG","Contabo Asia Private Limited","234","Contabo Asia Private Limited","443","socks4","3011","1","2025-04-10T03:49:37.074Z","98","2488","2529"
"43.153.174.4","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","256","Tencent Cloud Computing","443","socks5","2303","1","2025-04-10T03:44:22.989Z","67","6330","9486"
"109.72.51.27","elite","AS8400","RS","AVcom-BG","31","N/A","443","socks5","939","1","2025-04-10T03:38:37.477Z","99","1175","1186"
"202.159.35.121","elite","AS9340","ID","PT IndoInternet","166","N/A","443","socks4","3491","1","2025-04-10T03:37:43.168Z","99","9333","9433"
"129.226.208.98","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","303","Aceville Pte.ltd","443","socks4","2487","1","2025-04-10T03:26:26.066Z","98","9136","9355"
"202.159.35.177","elite","AS9340","ID","PT IndoInternet","175","N/A","443","socks4","2306","1","2025-04-10T03:26:26.078Z","99","9351","9465"
"202.159.60.113","elite","AS9340","ID","PT IndoInternet","176","N/A","443","socks4","802","1","2025-04-10T03:26:26.065Z","99","9347","9422"
"43.153.73.157","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks5","410","1","2025-04-10T03:25:15.095Z","80","7612","9486"
"43.153.174.137","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","259","Tencent Cloud Computing","443","socks5","2200","1","2025-04-10T03:20:29.191Z","99","9227","9320"
"43.153.55.205","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks5","4588","1","2025-04-10T03:18:20.284Z","87","8198","9428"
"80.90.90.197","elite","AS35444","AL","Digicom","45","N/A","443","socks4","5015","1","2025-04-10T03:18:20.074Z","98","1025","1048"
"43.134.169.115","elite","AS132203","SG","Aceville Pte.ltd","315","N/A","443","socks4","4791","1","2025-04-10T03:15:39.382Z","97","9135","9389"
"43.134.230.145","elite","AS132203","SG","Aceville Pte.ltd","320","N/A","443","socks5","3388","1","2025-04-10T03:14:42.596Z","80","7535","9423"
"202.159.30.153","elite","AS9340","ID","PT IndoInternet","170","N/A","443","socks4","3408","1","2025-04-10T03:14:42.594Z","99","9287","9418"
"84.244.69.29","elite","AS25248","CZ","BlueTone-CRa","20","DATRON, a.s.","443","socks4","998","1","2025-04-10T03:13:37.596Z","100","9480","9491"
"188.114.98.25","elite","AS13335","CA","Cloudflare, Inc.","4","CloudFlare, Inc.","443","socks4","560","1","2025-04-10T03:13:37.573Z","100","9415","9419"
"43.153.177.147","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","252","Tencent Cloud Computing","443","socks4","2002","1","2025-04-10T03:07:03.095Z","87","8159","9389"
